구분,유저,챗봇
,한약 복용중에 임신이 되었어요,"첫 임신 시 터너증후군이 발생한 것은 임신 초 약물 복용과 관계가 없습니다. 현재도 임신 초기이신 것 같은데 임신 매우 초기에 복용한 약물은 오히려 태아에게 미치는 영향이 거의 없습니다. 물론 여드름 약을 비롯한 일부 약물의 경우 반감기가 길어서 오랫동안 체내에 남아 있어 태아에게 영향을 미치는 것도 있습니다. 그러나 임신 중 한약 복용이 태아에게 미치는 영향에 대해서는 근거 자료가 없으므로 알 수 없습니다. 
다행인 것은 앞서 말씀드린 대로 임신 초기이므로 태아에게 미치는 영향은 매우 적을 것으로 생각됩니다. 기형이라는 것은 태아의 여러 장기가 발달하는 과정에 문제가 생겨 발생하는 것인데, 임신 4주 이전에는 장기발생이 이루어지기 전이기 때문에 약물 복용으로 기형아가 발생하지는 않습니다. 문제가 되면 유산이 되거나 아니면 전혀 영향이 없거나 하므로 이와 같은 현상을 all or none phenomenon이라고 합니다. 그리고 실제 모든 기형 중 약물복용에 의한 기형은 2% 밖에 되지 않습니다. 
결론적으로 임신 초기에 약물복용을 했다고 하여 (기형 유발율이 매우 높은 특정 약물이 아니라면) 유산을 고려할 이유가 없습니다. 참고로 이전 터너증후군은 재발율이 매우 낮으므로 이번 임신의 양수검사 적응증이 되지 않는 것으로 되어 있습니다."
,임신중인데 두통이 너무 심해요,"임신 중 두통은 정상적으로도 나타날 수 있는 증상이지만 다른 문제로 일어날 수 있는 증상과 감별이 어렵습니다. 평소에도 두통이 자주 있었고, 머리가 깨질듯이 아프다면 병원에 가셔서 검사를 받으시는 것이 좋겠습니다. 임신 16주 이후이므로 엑스레이 검사도 받을 수 있고, 꼭 필요하다면 뇌 CT도 가능합니다. 물론 MRI도 임신 14주 이후에는 안전하게 검사 받으실 수 있습니다. 
임신 중 여러 가지 신체변화 및 증상은 정상과 비정상을 구분하기 어렵게 하는 경우가 많이 있습니다. 가장 문제가 되는 것은 정상이려니 하면서 병을 키우다가 진단이 늦어져 치료시기를 놓치는 경우입니다. 
신경과 또는 신경외과에 가셔서 진료를 받으시고 필요한 검사를 해보시기 바랍니다. 만약 아무 문제가 없는 것으로 나온다고 해도 쓸 데 없는 검사 했다라고 생각하지 마시고, 내 몸이 정상임을 확인해서 다행이라고 생각하시는 것이 좋겠습니다."
,다낭성 난소 증후군이면 불임이 될 수 있나요,"다낭성 난소증후군은 초음파 검사, 혈액 호르몬 검사, 임상적 증상 등으로 진단할 수 있는 질환으로 젊은 여성(특히 비만여성)에서 불임의 원인이 될 수 있습니다. 불임의 원인은 대개 배란이 안 되어 나타나는데 배란유도제 등 약물치료로 대개는 임신이 가능하므로 너무 걱정하지 않으셔도 됩니다. 다낭성 난소 증후군으로 진단이 되면 불임∼내분비 전문 선생님과 상의하셔서 임신계획을 세우시기 바랍니다."
,갑자기 생리양이 줄었습니다. ,"생리는 날짜가 늦어지거나 양이 줄었어도 일단은 생리를 했다는 것이 중요합니다. 다만 스트레스가 있거나 환경의 변화로 호르몬 조절에 변화가 있을 때 일시적으로 생리주기가 바뀔 수 있습니다. 일시적 현상이면 큰 문제가 되지 않습니다. 앞으로 생리주기를 관찰해보시고, 계속 불규칙하게 변화가 있으시면 산부인과 진찰을 받아보시기 바랍니다. 자궁에 문제가 있을 때는 생리양이 줄어들기보다는 많아지는 경우가 많습니다. 일시적인 변화일 가능성이 높으니 기다려 보는 게 좋겠습니다."
,엽산제를 오래 복용해도 되나요,"엽산제 복용으로 무뇌아나 척추이분증 기형아 발생률을 70%까지 예방할 수 있다고 알려져 있어, 최소 임신 한 달 전부터 복용하는 게 바람직하다고 권장합니다. 만일 이러한 기형아를 가진 가족력이나 기왕력이 있어 사전예방이 필요한 경우는 더 많은 용량을 더 일찍부터 복용하는 것이 좋습니다. 철분제는 빈혈이 없다면 임신 중기부터 복용하시면 됩니다. 엽산은 사전 복용한다고 나쁠 건 없지만(태아에 무해함) 임신을 계획하신다면 지금부터 복용하시면 됩니다."
,임신 준비중인데 운동을 해도 괜찮나요,"원래 오랫동안 해 오던 운동인 경우는 생리 및 배란주기에 별 영향을 끼치지 않습니다. 전혀 하지 않으셨던 운동을 갑자기 시작하신 경우라면 스트레스 등의 갑작스런 신체변화로 생리주기 및 배란주기에 혼란이 오는 경우가 생길 수 있지만, 계속해 오던 운동이시라면 지속하셔도 상관없습니다. 단, 다이어트를 목적으로 적절한 영양 공급 없이 심한 운동을 하는 경우라면 삼가야겠지요. 오히려 갑자기 운동을 중단하여 혹시 체중 증가가 생긴다면 생리주기에 악영향을 끼칠 수 있습니다. 다시 말해서, 적절한 영양섭취와 함께 무리하지 않는 선에서의 적당한 운동은 지속하셔도 무방합니다."
,갑상선 기능 저하증은 임신이 어려운가요,"갑상선 기능 저하증이 조절이 잘 안 되는 경우 호르몬 변화로 생리불순이 오고, 이로 인해 배란 및 임신이 잘 안 될 수 있습니다. 우선 갑상선 기능을 정상화하는 것이 가장 중요합니다. 생리가 정상적으로 잘 이뤄지고 있다면 너무 걱정하시지 마시고 임신을 기다리시길 바랍니다. 또한 임신 후에도 내과진료를 같이 계속 보시면서 갑상선 호르몬 조절을 잘 하셔야 됩니다."
,질염 치료중인데 임신이 되어도 괜찮나요,"통상적으로 사용하는 질정을 배란 시기이거나 임신인 줄 모르고 삽입하였다고 하여, 커다란 문제가 될 것은 없습니다. 그러나 임신 여부를 주의 깊게 확인하여, 적절한 치료를 하시는 것이 좋을 듯 합니다. 질염 치료 기간은 질염 종류에 따라 차이가 있으므로 어떤 종류의 균을 치료하는지 알 필요가 있습니다. 어느 정도 치료하여야 한다는 것은 정해져 있지 않으며, 질염은 환경에 따라 자주 재발할 수도 있습니다."
,배가 가려워서 긁는데 태아에게 영향이 있나요,"산모들은 대사 변화로 인하여 임신 기간 중에 가려움이 있을 수 있습니다. 여기에 피부가 건조해질 경우 증상은 더욱 심해지게 됩니다. 임산부용 팬티 등 옷에 의해서 자극이 될 수도 있으니 자극이 된다고 생각하시는 의류는 피하시는 것이 좋고, 보습크림 같은 것으로 효과가 없을 경우에는 피부과에서 가려움을 약화시킬 수 있는 로션 등을 사용할 수 있습니다. 피부 병변이 동반되지 않을 경우에는 대개 별 이상은 아니며 출산 후에는 호전됩니다. 간혹 임신성 피부 가려움증과 같은 심한 소양증상을 동반하는 경우도 있는데, 이런 경우 분만을 해야만 약화되는 경우도 있으며 주로 배를 중심으로 시작하여 전신으로 퍼지는 경향이 있습니다. 하지만 이런 가려움증은 태아에게는 영향을 주지 않습니다."
,트리플 검사와 쿼드 검사의 차이는 무엇인가요,"트리플 검사와 쿼드 검사는 산모의 혈액 내 호르몬 및 단백질 농도를 측정하여 태아의 다운증후군, 에드워드증후군, 신경관 결손의 위험도(확률)를 계산하는 것입니다. 일반적으로 기형아 검사라고 지칭하지만 이 검사로 모든 기형아를 선별할 수는 없고, 위의 대표적인 기형아를 선별하는 것입니다. 트리플 검사는 세 가지 물질을 검사하고, 쿼드 검사는 트리플 검사에 인히빈이라는 물질을 추가하여 네 가지 물질을 검사합니다. 간단하게 말씀드리면 트리플은 정확도가 약 70%, 쿼드는 약 80%라고 보면 됩니다. 그러므로 쿼드가 조금 더 정확한 검사입니다. 반면, 트리플이나 쿼드 검사에서 음성이 나왔다고 하여 다운증후군, 에드워드증후군, 신경관 결손의 위험이 없는 것은 아닙니다. 쿼드 검사는 현재 보건소에서 시행되지 않는 것으로 알고 있습니다."
,임신중 왼쪽으로만 누워서 자야 되나요,"일반적으로 산모가 누울 때 똑바로 자지 않도록 권장합니다. 그 이유는 똑바로 누우면 척추 바로 위에 있는 대정맥이 임신 중에 커진 자궁에 눌려서 하지로부터 심장으로 향하는 혈액 순환이 어렵게 되어 산모가 저혈압에 빠지고, 태반으로 향하는 혈액 순환에도 그만큼 장해를 주기 때문입니다. 오른쪽, 왼쪽 편하신 쪽으로 번갈아 가면서 누우시면 되지 한 쪽 옆으로 계속 누우시는 것을 고집할 필요가 전혀 없습니다"
,골판이 아파서 똑바로 걸을 수 없어요,"임신 말기에 대퇴골 관절(엉덩이와 허벅지 다리가 연결되는 관절)이 조금 벌어지거나 염증이 생기는 경우, 혹은 다른 골반 뼈들이 벌어져서 통증이 오는 경우가 종종 있습니다. 하지만 단순한 가진통을 다리의 통증으로 느끼는 경우도 있으니 골반인지 허리의 문제인지를 감별하여 주시는 것이 좋을 것으로 보이며, 걷기 힘들 정도로 많이 아프시면 정형외과에서 진찰을 받아보시기 바랍니다. X∼선 촬영 1∼2장 정도는 태아에게 거의 영향이 없습니다. 걷기가 불편하시니까 많이 쉬시는 것이 좋고, 계단은 오르지 마시고 걸레질도 안하시는 것이 좋습니다. 분만 후에는 거의 좋아질 것으로 생각되는데, 통증이 있는 경우에는 타이레놀을 복용하시기 바랍니다."
,임신 초기에 열탕에 들어가면 안되나요,"본인이 참을 수 있는 정도 온도의 물에 잠시 들어갔다 나오셨다면 걱정하지 않으셔도 됩니다. 목욕물 정도의 온도에서 태아가 기형을 일으키지는 않으며, 뜨거운 곳이 오래 있을 때 산모의 탈수나 현기증 등이 더 문제가 되겠습니다. 임신 3개월까지는 항상 문제가 생길 수 있습니다. 정기적인 산전 진찰을 잘 받으시고 건강한 아기를 순산하시기 바랍니다."
,배가 쑤시고 설사를 하는데 괜찮은건가요,"임신과 변비는 서로 상관관계가 있지만, 임신과 설사는 서로 상관관계가 없습니다. 임신이 아닐 때와 마찬가지로 임신 중 설사는 바이러스, 박테리아, 기생충 등의 대변∼구강(입)의 감염에 의하여 발병합니다. 설사로 인하여 탈수 현상이 있거나, 발열(fever)이 있거나, 혈변이 있거나, 48시간 이상 동안 설사의 증상이 좋아 지지 않으면 내과 진료를 받으셔야 합니다. 자꾸 설사가 반복되면 탈수 현상이 일어나고, 설사에 의한 복통이 자궁 수축을 일으키면 조산 또는 유산의 위험도 있을 수 있습니다. 정상 임신에서 임신 18주에 자궁이 뭉치고 쑤시는 증상은 없습니다. 자가 치료를 하지 마시고 병원 진료를 받도록 하십시오."
,취침중에 화장실을 꼭 가게 되요,임신 초기 호르몬에 의한 빈뇨와 다르게 임신 중반기 지나도 자궁이 더 커지면 방광을 누르게 되므로 소변을 자주 볼 수 있습니다. 밤에 일어나는 것이 불편하면 저녁 식사 후에 음료수 종류를 섭취하지 않아 보시기 바랍니다. 한 번 정도 화장실 가는 것은 비정상이 아닙니다. 소변이 방광에 많이 차 있는데 참으면 안 되겠지요.
,배에 빵빵하게 가스가 차요,가스가 찬 느낌이 생겼다고 태아에게 나쁜 영향을 끼치지 않습니다. 아무래도 임신 초기에는 입덧뿐만 아니라 소화가 잘 안되기 때문에 가스가 차는 경우가 종종 있습니다. 생리통처럼 아랫배가 아프거나 피가 나면 유산 기운이 있는 것이기 때문에 병원에 빨리 가보셔야 됩니다만 가스가 찬 느낌으로 부글부글 거린다면 좀 더 기다려 보시도록 하지요. 좌우로 잠드는 것은 전혀 문제가 되지 않습니다. 1∼2분 배가 당기는 느낌은 배가 부르면서 복벽이 늘어나면서 나타나는 현상이고 당기는 느낌이 1∼2분 정도로 끝난다면 특별히 문제되지 않겠는데요. 오히려 만삭이 다 되가시면 좌우로 잠드시는 것이 태아에게 더 편안한 자세이니 너무 걱정하지 마십시오
,해외출장이 있는데 다녀와도 될까요,"임신 중 비행기 여행은 특별한 문제가 없는 경우에는 충분히 가능합니다. 임신 중 비행기 여행이 문제가 될 수 있는 것은 예기치 못했던 응급 상황이 발생하였을 때 그에 대한 처치를 해줄 수 있는 의료진과 의료 장비가 없다는 것입니다. 일반적으로 임신 36주 또는 37주 이전에는 비행기 여행이 가능하다고 할 수 있는데, 그 이후에는 갑자기 언제 진통이나 양막 파열이 생길지 알 수 없기 때문에 가급적 장거리 비행기 여행은 삼가는 것이 좋겠습니다. 임신 중 장거리 비행기 여행 시 장시간 좁은 좌석에 같은 자세로 앉아 있는 경우 하지 혈액 순환이 좋지 않아 정맥류, 치질 등의 위험이 증가합니다. 이를 예방하기 위해서는 1∼2시간에 한 번은 비행기 복도에서 걷는 운동을 해주시는 것이 좋겠습니다. 조산을 한 과거력이 있거나 수술을 한 산모라면 되도록 34주에 장기 출장은 좋지 않을 것으로 보입니다."
,손발이 부어서 너무 아파요,"만삭 때는 손발이 많이 부을 수 있고 이 때문에 손가락과 발가락 뼈마디가 저릴 수 있습니다. 너무 짠 음식은 피하도록 하시고, 분만하시면 다시 대부분 회복되므로 침을 맞는다든지 다른 치료를 할 필요 없을 것 같습니다. 단지 임신 중독증 때도 갑자기 몸이 많이 부을 수 있으므로 병원에 가셔서 혈압 체크와 소변검사를 꼭 하셔야 합니다. 침은 감염에 민감한 산모에게 오히려 좋지 않을 수 있습니다."
,속쓰림이 지속됩니다.,임신 중에는 역류성 식도염이 자주 동반됩니다. 커지는 자궁으로 인해 위장과 식도에 변화가 생겨서 그러는 거지요. 조금씩 자주 드시고 식후에는 몸을 많이 숙이지 마시고요. 지낼만하시면 그대로 지내시고 너무 힘들면 병원을 찾아서 약을 복용해 보세요. 아기가 나오고 나면 대부분 정상으로 돌아옵니다.
,양수검사를 꼭 해야하나요,양수 검사는 원칙적으로 우리나라 여성의 나이 만 35세에 분만을 하시는 시점에서는 하시는 것이 원칙입니다. 물론 많은 분들이 안 하시는 경우가 많겠지만 원칙적으로 나이가 만으로 35세가 넘는 경우에 염색체 기형아를 낳을 확률이 양수 검사로 인해서 합병증이 생길 확률과 거의 같다고 보고 있으므로 하시는 것이 좋습니다.
,갑자기 몸에 열이 많이 납니다. ,"열감이 느껴지고 많이 더워하시지만 실제로 체온이 상승, 즉 열이 나시는 것은 아닙니다. 체온 상승이 있다면 그것은 신체 내 감염을 의미하는 것이기 때문에 빨리 진단받고 치료하셔야 산모나 아기가 모두 안전합니다. 그러나 체온 상승 없이 더위를 타시는 거라면 아기에게는 특별히 나쁜 영향을 끼치진 않습니다. 임신부들은 신체 대사가 상승되고 호르몬의 변화 때문에 더위를 잘 타는 경우가 많습니다. 그러나 더위를 타는 것 외에 신경이 예민해지시고, 많이 피곤하시고 체중증가가 잘 안 되는 등의 증상이 있다면 갑상선 항진증도 의심할 수 있습니다. 갑상선 항진증은 혈액검사로 진단할 수 있고. 검사를 위해서는 다니시는 산부인과 의사선생님께 상의하시면 됩니다."
,신종인플루엔자 접종을 해야하나요,"접종을 하시길 권해 드립니다. 접종하여서 생길 수 있는 문제점과 부작용에 대한 심각성과 합병증의 확률보다는, 접종을 하지 않아서 신종인플루엔자에 걸렸을 경우 나올 수 있는 문제점(태아 뇌신경 장애 등)이 더 크다고 보이므로 접종하시는 것이 좋을 듯합니다."
,참치캔을 먹어도 되나요,"임산부와 참치에 대해서는 2003년에 식약청이 조사 발표했었습니다. 바다의 오염 물질인 메틸수은은 먹이사슬을 통해 축적되기 때문에 보통 작은 물고기를 잡아먹는 대형 어류에 더 많습니다. 이 메틸수은은 일정량 이상 몸에 축적될 경우 독성이 강하기 때문에 다량 섭취에 주의해야 합니다. 미국 FDA에 따르면 안전한 생선의 수은 수치를 1ppm 이하로 정하고 있으며, 일반적으로 어시장에서 판매되는 생선의 경우 대개가 0.12ppm, 그리고 참치 통조림은 상품마다 다르지만 많게는 0.75ppm까지 함유하고 있습니다. 이에 따라 식약청은 임산부나 가임여성, 유아의 경우 참치 요리는 1주일에 한 번 이내, 양은 70~80그램, 한 접시를 넘지 않는 것이 좋다고 권고했습니다. 또한 우리나라의 경우 참치 섭취량이 외국에 비해 훨씬 적기 때문에 일반 성인은 지금처럼 참치를 먹더라도 큰 문제가 없다고 밝혔습니다."
,임신중에 음식 섭취를 어떻게 해야하나요,"임신 시에 가려야 할 음식에 대한 많은 속설이 존재합니다. 또한 물론 산에서 나오고 무농약의 음식들만 먹는다면 좋겠지만, 현대 사회에서 어느 정도의 농약이나 음식에서 나올 수 있는 물질들을 너무 많이 가리는 것은 현실적으로 불가능합니다. 아토피가 있는 산모의 경우 물론 아기가 아토피가 있을 것을 걱정하실 수는 있지만 우유나 콩 등에 평소 알레르기가 있지 않으시다면 드시는 음식을 그냥 드시면 될 것으로 보입니다. 토양이나 어떤 생선에서 나올 수 있다는 이상 물질들이 체내나 태아에게 이상을 일으킬 정도를 섭취하려면 농약지대에서 지속적으로 산다든지 원폭 지역 등 일상적인 지역이 아닌 특수 지역민들을 상대로 한 검사 등을 이야기하는 것이므로 일반적으로 몸에 좋다는 음식 위주의 평범한 식습관으로 골고루 드시는 것이 좋을 것으로 보입니다."
,감기에 걸렸어요,임신 4개월이라면 감기약을 처방 받아서 복용하는 것이 좋겠습니다. 산부인과나 내과에서 임신 중임을 알리면 복용 가능한 안전한 약을 처방해 줄 것입니다. 합병증이 와서 열이 나면 오히려 태아에게 더 좋지 않습니다. 가습기를 트시고 주스나 생수를 많이 마시고 쉬는 것이 좋겠습니다.
,임산부가 먹으면 안좋은 음식이 있나요,"과거에 먹지 말라는 음식 중에 닭을 먹으면 아기 피부가 이상해진다는 이야기가 있는데요. 이를 미신이나 속설로 단정하기는 그렇지만 일단은 모든 음식을 골고루 드시는 게 좋습니다. 팥은 일반적으로 산후 부종이나 젖에 좋다하여 먹는 음식이어서 아마 산전에 임신 중에는 안 좋다고 표현하는 것 같습니다.음 식은 되도록이면 너무 편식하지 않고 골고루 적당히 시간을 지켜 드시고, 가족 중에 당뇨가 있는 경우라면 당뇨 가능성을 확인해 보시는 것을 권장합니다."
,임신중에 모유수유를 할 수 있나요,임신을 하셨다고 해도 모유 수유를 중단해야 할 이유는 없습니다. 언제까지 먹여야 되는 지 따로 시기가 정해져 있는 것은 아닙니다. 출혈 등의 특별한 문제가 없다면 모유 수유는 계속하실 수 있습니다.
,임신 준비 중에 남편이 피부과 약을 복용했는데 괜찮나요,"""임신 중 피부과 약은 무조건 피하라""는 얘기는 잘못된 정보입니다. ""임신 중 피부과 약은 전문의와 상의 후 주의하여 사용하라""가 올바른 정보입니다. 많은 피부과 약은 의학적으로 꼭 필요한 경우 임신 중 사용 가능하며, 일부 약물(특히 여드름 약)만이 절대 금기입니다. 피부과 약뿐 아니라 다른 계통의 약물도 마찬가지입니다. ""임신 중 약물 복용을 하면 안 된다""는 틀린 말이고, ""임신 중 약물 복용은 주의해야 한다.""가 맞는 말입니다. 임신 초기 남편이 복용한 약물은 상관없는 것으로 알려져 있습니다. 더구나 ""씨잘""이라는 항히스타민제와 ""아시클로버""라는 항바이러스제는 태아에게 미치는 영향이 거의 없는 것으로 알려져 있습니다. 매연이 산모의 건강에 좋지는 않겠지만, 태아에게 미치는 영향에 대해서는 잘 알려져 있지 않고, 짧은 순간의 노출이었으므로 태아의 발달에 문제가 되지는 않을 것으로 생각됩니다."
,정신과 약물을 복용하면서 임신이 가능할까요,"정신과 약물(항우울증, 항 불안증 약물)에는 태아에게 유해한 약물들이 포함되어 있는 경우가 종종 있습니다. 우선 복용하고 계신 약물의 종류를 알아야 자세한 상담을 할 수 있습니다. 중요한 것은 매우 유해한 약물은 피하고, 복용하였을 때의 이점과 중단하였을 때의 불리한 점을 저울질하여 비교적 안전성이 입증이 된 약물 중에서 가능한 한 만족할 효과를 주는 최소 용량을 사용하는 것이 정신과 약물 사용의 원칙입니다. 가장 좋은 몸의 상태 때 임신하는 계획 임신 그리고 임신 전 과 임신 초기에 multivitamin, 엽산 등의 충분한 공급도 유익한 효과를 줄 수 있다는 것을 고려하여야 합니다. 치료 약물을 가지고 정신과 선생님과 산부인과 선생님이 함께 방안을 생각하면, 분명히 좋은 해결 방법이 나올 것으로 생각합니다. 가능한 한 3차 의료기관에서의 진료가 바람직할 것으로 사료됩니다."
,임신중독증을 의심해야 하나요,"임신 중에 뇨검사에서 가벼운(mild) 당뇨와 단백뇨가 나타날 수 있습니다. 더욱이 일회의 점적 뇨검사는 반정량 검사로서 정확한 당뇨, 단백뇨를 측정할 수 없습니다. 당뇨 검사보다는 혈액을 이용한 혈당 검사가 보다 정확한 검사입니다. 임신 24주에서 28주사이에 50gm의 포도당액을 마시게 하고 1시간 후에 혈액을 채취하여 혈당을 검사하는 임신성 당뇨병의 선별 검사를 실시합니다. 일회의 점적 뇨검사에서 가벼운 단백뇨는 전날에 단백 섭취가 많았거나. 심한 운동을 하였거나, 소변 채취 과정 중에 오염되었을 때, 새벽의 첫 소변과 같이 농축된 소변에서 가짜의 양성 단백뇨 검사가 나올 수 있습니다. 이와 같은 오류를 피하기 위하여 24시간 모은 소변을 이용하여 단백뇨를 측정하고 24시간 모은 소변내의 단백이 300∼500mg이상이면 단백뇨의 진단을 내립니다. 현재의 혈압과 체중 증가는 임신 중독증의 소견이 아닙니다."
,입덧이 점점 심해져요,"입덧의 정도는 사람에 따라 차이가 있으나 심하다고 해서 병은 아닙니다. 입덧은 아기가 건강히 잘 자라고 있다는 정상적인 현상입니다. 시간이 지나면 저절로 좋아지며, 약을 먹는다고 좋아지지는 않습니다. 입덧이 심해 탈수가 될 정도면 병원에 가셔서 도움을 받으셔야 될 수도 있으니 많이 힘드시면 한번 병원을 방문하시는 것도 좋습니다. 대부분 임신 초기에는 빈혈이 잘 오지 않으며, 정상이더라도 입덧이 심하거나 임신 초기인 경우 간혹 어지러울 수 있습니다. 따라서 철분제는 보통 임신 20주경부터 복용하시면 됩니다. 하지만 만약 심하게 어지러우시다면 병원에 가서 빈혈 검사를 하신 후 철분제를 복용해야 할 수도 있겠습니다."
,자궁 경부 길이가 짧으면 위험한가요,"자궁 경부 길이는 일반적으로 분만 전까지 약 4.5cm 정도이지만 꼭 길이가 같은 것은 아닙니다. 다만 산모분이 조산한 과거력이 있으므로 배가 불편하고 뭉치는 증상이 자주 있고, 쉬는 것과 무관하게 계속적으로 불편하거나 출혈의 양상이 조금이라도 있으시면 병원에 즉시 가셔야 합니다. 현재 아기들 중 미숙아가 증가하고 있으므로 신생아 중환자실의 관리가 되는 병원으로 다니시길 권장합니다. 또한 갑상선 문제는 주치의 선생님과 의논하여 검사를 후 치료를 하시기를 바랍니다."
,분만 예정일인데 가진통이 없어요,"분만을 위해서 가진통이 지금부터 생기는 것이 아니고 분만 예정일 3주 전인 37주부터 가진통도 진진통도 모두 생기는 것입니다. 즉 분만 예정일 전에 약 70%까지는 분만을 다 하시는 것이지요. 산모 분들이 간혹 분만 예정일에 분만을 한다거나 초산은 아기가 좀 늦게 나오는 것을 당연히 여기는 경우가 있는데요. 분만 예정일이 지나고 낳는 경우는 유도분만을 하여야 하며, 과숙아의 경우는 배안에서 태변을 많이 봐서 태변흡입증후군과 같은 현상이 생길 수 있으므로 걷기나 요가 같은 운동을 하시고, 꼭 다니시는 병원에 가셔서 분만을 언제 유도 할 것인지 알아보셔야 합니다."
,"임신 34주차인데, 질염 치료를 해야하나요","임신 중 약물 복용을 할 경우 약물로 인한 기형아의 출산이 문제가 될 수 있으므로 조심하는 것입니다. 그러나 현재의 임신 주수로는, 기형아 출산의 문제점은 없습니다. 아스피린계통의 약물을 용량 이상으로 정기 복용했을 경우에는 출생 시 PDA라는 혈관이상이 올 수도 있고, 테트라싸이클린이라는 항생제를 오래 복용하였을 경우, 태아에게 안 좋은 결과를 유발 할 수도 있으나, 대부분의 약물들은 단기 복용 시 큰 문제가 없으며, 문제가 있는 약물은 산부인과 전문의라면 처방하지 않으니, 너무 걱정하시지 않으셔도 됩니다. 그리고 단순 질염으로 인해 안구 염증이 생긴다고 볼 수 없습니다. 그리고 질염이 있을 경우 질정을 삽입할 수도 있으나, 경구약이 더 효과적일 수도 있으니 치료는 담당 의사선생님께 맡기시는 것이 좋을 듯합니다."
,임신부 치질 어떻게 해야하나요,"임신한 여성의 경우 비임신 시보다 치질에 걸릴 확률이 높은데요. 당장 수술이 필요할 정도로 통증이 심하거나 기타 증상이 심한 경우가 아니라 초기 증상일 경우에는 좌욕이 가장 좋은 방법입니다. 미온수를 이용하여 좌욕을 열심히 하시고, 직장 등에서 오래 앉아 계실 때에는 온열 방석 등을 이용하여 병변을 따뜻하게 유지해 주세요. 변비 등을 완화시키기 위해 푸른 주스나 푸른 열매(말린 것) 등을 복용하는 것도 도움이 될 수 있습니다. 배변을 아주 못하시는 편은 아니므로 이와 같은 대증 요법으로 증상을 조절하실 수 있을 것으로 생각됩니다."
,임신중에 파마를 해도 되나요,"파마 시 아무리 조심한다고 하여도(소량의 파마약일지라도) 파마약이 두피를 통해 혈액으로 전달될 수도 있습니다. 그러니 가능하시다면 하지 않는 것이 좋습니다. 그러나 이미 하셨다면, 임신 주수 등을 감안할 때 기형아에 대한 걱정은 안 하셔도 좋을 듯합니다."
,임신중 장기간 허리에 통증이 있어요,"임신 전부터 허리 통증이 가끔씩 있으셨고, 또 지금 통증의 양상이 유독 심하신 것을 보면 임신의 영향이 아니라 원래부터 있었던 척추의 문제가 임신 후 더 심해지신 것일 수도 있습니다. 그러나 일상생활을 못할 정도의 급성 통증이 아닌 이상 정형외과에서도 분만 후로 진단이나 치료 과정을 연기하는 경우가 많습니다. 즉 지금은 마사지나 휴식, 일반적인 통증 완화를 위한 처치를 하셔야 되고요, 무거운 물건을 드는 것을 피하시는 생활습관이 필요합니다. 통증이 심하신 경우에는 파스 등을 이용할 수 있는데, 이 경우 다니시는 주치의 선생님과 상의하시기 바랍니다. 산후에 통증이 지속된다면 정형외과에 가셔서 검사를 받아보시는 것이 좋겠습니다."
,임신 중 부부 관계에 아기에게 안 좋은 영향을 미치나요,"임신 중의 부부 관계는 태아에게 거의 영향을 미치지 않습니다. 오히려 부부 관계가 부부 사이의 사랑을 더욱 돈독히 해 줄 수 있습니다. 임신 초기에 유산의 위험성이 있거나 임신 후반기에 조산의 위험성이 있으면 부부 관계는 피하는 것이 좋습니다. 그 외의 부부 관계는 전혀 문제가 없으며, 임신 36주까지는 부부 관계를 하셔도 무방합니다. 걱정하지 마시고 남편과 잘 얘기하셔서 부부 관계를 가지시기 바랍니다."
,출산 후 부부관계가 꺼려져요,"출산 후 육아에 온 신경과 정성을 쏟다 보면 성생활에 대한 욕구가 떨어지면서 부부 관계가 소원해지는 경우가 흔히 있습니다. 특이 아이가 어릴 경우, 낮에는 낮대로 그리고 밤에는 밤대로 손이 많이 가기 때문에 여성들의 심신이 많이 지치게 되고 그러면 당연히 성욕이 떨어지게 됩니다. 남편 분이 이런 상황을 이해해 주시면 좋겠지만, 출산 후 3년째이고 이런 상황이 그 시간 동안 지속되었다면 당연히 남편분의 불만도 쌓여 있을 것이라 생각됩니다. 의학 분야 중 성의학라는 분야가 있는데요, 인터넷에 성의학으로 검색하시면 도움을 받을 수 있는 병원들을 찾으실 수 있을 겁니다. 누구에게나 생길 수 있는 상황이므로 너무 걱정하실 필요는 없지만, 그대로 방치해 두신다면 부부 관계에 골이 생길 수 있으므로 병원을 방문하셔서 전문의의 도움을 받으실 것을 권유합니다."
,출산 후 자궁수축이 잘 안될 수 도 있나요,자궁의 수축이 안 좋아서 출혈이 많았던 경우 미처 그 출혈이다 나오지 않고 자궁 안에 고여 있다가 혈종이 되서 늦게 빠지는 수가 있습니다. 또는 분만 후 태반 부산물이 다 떨어지지 않고 있다가 늦게 떨어지는 경우도 있습니다. 그러나 외래에서 자궁에 남아 있는 혈종을 빼셨다고 하시고 또 자궁 수축제도 복용하셨다고 하니 향후 문제가 없을 것으로 보입니다. 지금 출혈이 계속되지 않으시면 자궁 수축은 더 이상 걱정 안 하셔도 됩니다.
